Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
Good - relax: 26, rightarm: 26, leftarm: 0
Outliers - relax: 0, rightarm: 0, leftarm: 0
